Question	Background Tags	ML Tags	Meta Tags	Joined
1	ignore	ignore	ignore	[TAGS: ignore,ignore,ignore]
2.1		ml-nb-	meta--reasoning	[TAGS: ml-nb-,meta--reasoning]
2.2	bkgrd-prob-cond	ml-nb-	meta--numerical	[TAGS: bkgrd-prob-cond,ml-nb-,meta--numerical]
2.3		ml-nb-	meta--numerical	[TAGS: ml-nb-,meta--numerical]
2.4	bkgrd-prob-cond	ml-nb-	meta--numerical	[TAGS: bkgrd-prob-cond,ml-nb-,meta--numerical]
3.1		ml-genvsdis-	meta--selectall	[TAGS: ml-genvsdis-,meta--selectall]
3.2		ml-nb-	meta--selectall	[TAGS: ml-nb-,meta--selectall]
3.3	bkgrd-prob-distr	ml-nb-	meta--selectone	[TAGS: bkgrd-prob-distr,ml-nb-,meta--selectone]
3.4	bkgrd-prob-distr	ml-nb-,ml-nb-gaussian	meta--selectone	[TAGS: bkgrd-prob-distr,ml-nb-,ml-nb-gaussian,meta--selectone]
3.5	bkgrd-prob-distr	ml-nb-,ml-nb-gaussian	meta--selectall	[TAGS: bkgrd-prob-distr,ml-nb-,ml-nb-gaussian,meta--selectall]
4.1		ml-svm-	meta--selectall	[TAGS: ml-svm-,meta--selectall]
4.2		ml-svm-	meta--selectall	[TAGS: ml-svm-,meta--selectall]
4.3		ml-svm-	meta--selectall	[TAGS: ml-svm-,meta--selectall]
4.4		ml-svm-	meta--selectall	[TAGS: ml-svm-,meta--selectall]
4.5		ml-svm-	meta--selectone	[TAGS: ml-svm-,meta--selectone]
5.1	bkgrd-func-	ml-kernel-	meta--selectone	[TAGS: bkgrd-func-,ml-kernel-,meta--selectone]
5.2	bkgrd-func-	ml-kernel-	meta--selectone	[TAGS: bkgrd-func-,ml-kernel-,meta--selectone]
5.3		ml-kernel-	meta--numerical	[TAGS: ml-kernel-,meta--numerical]
5.4		ml-kernel-	meta--numerical	[TAGS: ml-kernel-,meta--numerical]
6.1		ml-ml_basics-exp	meta--numerical	[TAGS: ml-ml_basics-exp,meta--numerical]
6.2	bkgrd-geo-	ml-kernel-	meta--selectall	[TAGS: bkgrd-geo-,ml-kernel-,meta--selectall]
7.1		ml-svm-,ml-kernel-	meta--selectall	[TAGS: ml-svm-,ml-kernel-,meta--selectall]
7.2		ml-svm-,ml-kernel-	meta--selectall	[TAGS: ml-svm-,ml-kernel-,meta--selectall]
7.3		ml-svm-,ml-kernel-	meta--selectall	[TAGS: ml-svm-,ml-kernel-,meta--selectall]
8	ignore	ignore	ignore	[TAGS: ignore,ignore,ignore]
